param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,mean_test_Recall,rank_test_Recall,mean_test_Precision,rank_test_Precision,mean_test_F1,rank_test_F1,mean_test_Accuracy,rank_test_Accuracy,mean_test_Balanced accuracy,rank_test_Balanced accuracy,mean_test_AUROC,rank_test_AUROC
entropy,20,sqrt,0.85,10,1000,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1000}",0.9797453703703703,25,1.0,1,0.9892156862745098,25,0.9913377192982455,13,0.9898726851851851,25,1.0,1
entropy,20,sqrt,0.85,10,1000,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1000}",0.9797453703703703,25,1.0,1,0.9892156862745098,25,0.9913377192982455,13,0.9898726851851851,25,1.0,1
gini,5,sqrt,0.85,10,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421052,41,0.9872685185185185,41,1.0,1
gini,5,sqrt,0.85,10,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421052,41,0.9872685185185185,41,1.0,1
gini,20,sqrt,0.85,10,1500,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421052,41,0.9872685185185185,41,1.0,1
gini,20,sqrt,0.85,10,1500,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421052,41,0.9872685185185185,41,1.0,1
entropy,5,sqrt,0.85,10,1500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421051,45,0.9872685185185185,41,1.0,1
entropy,5,sqrt,0.85,10,1500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421051,45,0.9872685185185185,41,1.0,1
entropy,20,sqrt,0.85,10,1500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421051,45,0.9872685185185185,41,1.0,1
entropy,20,sqrt,0.85,10,1500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1500}",0.9745370370370371,41,1.0,1,0.9864379084967321,41,0.9891447368421051,45,0.9872685185185185,41,1.0,1
gini,5,sqrt,0.2,5,1000,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
gini,5,sqrt,0.2,5,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
gini,5,sqrt,0.2,5,1000,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
gini,5,sqrt,0.2,5,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
gini,20,sqrt,0.2,5,1000,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
gini,20,sqrt,0.2,5,1500,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
gini,20,sqrt,0.2,5,1000,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
gini,20,sqrt,0.2,5,1500,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,5,sqrt,0.2,5,1000,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,5,sqrt,0.2,5,1500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,5,sqrt,0.2,5,1000,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,5,sqrt,0.2,5,1500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,20,sqrt,0.2,5,1000,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,20,sqrt,0.2,5,1500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,20,sqrt,0.2,5,1000,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,20,sqrt,0.2,5,1500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,1.0,1
entropy,5,sqrt,0.85,5,1500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",0.9901620370370371,1,0.9953703703703703,73,0.9923202614379085,1,0.993530701754386,1,0.9931870791245792,1,0.9995265151515151,45
entropy,5,sqrt,0.85,5,1500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1500}",0.9901620370370371,1,0.9953703703703703,73,0.9923202614379085,1,0.993530701754386,1,0.9931870791245792,1,0.9995265151515151,45
entropy,20,sqrt,0.85,5,1500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",0.9901620370370371,1,0.9953703703703703,73,0.9923202614379085,1,0.993530701754386,1,0.9931870791245792,1,0.9995265151515151,45
entropy,20,sqrt,0.85,5,1500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1500}",0.9901620370370371,1,0.9953703703703703,73,0.9923202614379085,1,0.993530701754386,1,0.9931870791245792,1,0.9995265151515151,45
entropy,5,sqrt,0.85,5,500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.9901620370370371,1,0.9907407407407408,85,0.9898692810457517,13,0.9913377192982455,13,0.9912931397306398,13,0.9995265151515151,45
entropy,5,sqrt,0.85,5,500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.9901620370370371,1,0.9907407407407408,85,0.9898692810457517,13,0.9913377192982455,13,0.9912931397306398,13,0.9995265151515151,45
entropy,20,sqrt,0.85,5,500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.9901620370370371,1,0.9907407407407408,85,0.9898692810457517,13,0.9913377192982455,13,0.9912931397306398,13,0.9995265151515151,45
entropy,20,sqrt,0.85,5,500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.9901620370370371,1,0.9907407407407408,85,0.9898692810457517,13,0.9913377192982455,13,0.9912931397306398,13,0.9995265151515151,45
gini,5,sqrt,0.85,5,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.9895833333333334,21,0.9907407407407408,85,0.9895424836601308,21,0.9912280701754387,37,0.991003787878788,21,0.9995265151515151,45
gini,5,sqrt,0.85,5,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.9895833333333334,21,0.9907407407407408,85,0.9895424836601308,21,0.9912280701754387,37,0.991003787878788,21,0.9995265151515151,45
gini,20,sqrt,0.85,5,500,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.9895833333333334,21,0.9907407407407408,85,0.9895424836601308,21,0.9912280701754387,37,0.991003787878788,21,0.9995265151515151,45
